ACCE_ABSORB_CHANCE	Absorption rate: %d%%
CATEGORY_COSTUMES_COSTUME_BODY	Atuendos
CATEGORY_COSTUMES_COSTUME_HAIR	Peinados
CATEGORY_COSTUMES_COSTUME_WEAPON	Aspectos para armas
CATEGORY_COSTUMES_ETC	Otros
CATEGORY_COSTUMES_SASH	Estolas
CATEGORY_DRAGON_STONE	Alquimia de Piedras dragón
CATEGORY_DRAGON_STONE_DEMON	Amatista
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granate
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubí
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zafiro
CATEGORY_DRAGON_STONE_ETC	Otros
CATEGORY_EQUIPMENT_ARMOR	Equipamiento
CATEGORY_EQUIPMENT_JEWELRY	Joyas
CATEGORY_EQUIPMENT_WEAPON	Armas
CATEGORY_ETC	Otros
CATEGORY_ETC_ALL	Todo
CATEGORY_ETC_ETC	Otros
CATEGORY_ETC_EVENT	Objetos de evento
CATEGORY_ETC_GIFTBOX	Baúles | Cajas
CATEGORY_ETC_MATRIMORY	Bodas
CATEGORY_ETC_PARTI	Manuales del arte de guerra
CATEGORY_ETC_POLYMORPH	Bolas polimorfas
CATEGORY_ETC_RECIPE	Creación de pociones
CATEGORY_ETC_SEAL	Unión al alma
CATEGORY_FISHING_PICK	Pesca | Minería
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picos
CATEGORY_FISHING_PICK_ETC	Otros
CATEGORY_FISHING_PICK_FISHING_POLE	Cañas de pescar
CATEGORY_FISHING_PICK_FOOD	Peces
CATEGORY_FISHING_PICK_PICK_BOOK	Libros de minería
CATEGORY_FISHING_PICK_STONE	Minerales
CATEGORY_JEWELRY_ARMOR_EAR	Pendientes
CATEGORY_JEWELRY_ARMOR_FOOTS	Zapatos
CATEGORY_JEWELRY_ARMOR_NECK	Collares
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismán
CATEGORY_JEWELRY_ARMOR_WRIST	Brazaletes
CATEGORY_JEWELRY_ITEM_BELT	Cinturones
CATEGORY_MOUNT_PET	Monturas | Mascotas
CATEGORY_MOUNT_PET_CHARGED_PET	Mascotas
CATEGORY_MOUNT_PET_EGG	Huevos de mascota
CATEGORY_MOUNT_PET_FREE_PET	Mascotas desarrollables
CATEGORY_MOUNT_PET_MOUNT	Monturas
CATEGORY_POTION	Pociones
CATEGORY_POTION_ABILITY	Consumibles
CATEGORY_POTION_ETC	Otros
CATEGORY_POTION_HAIRDYE	Tintes del pelo
CATEGORY_SKILL	Habilidades
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libros del olvido
CATEGORY_SKILL_ETC	Otros
CATEGORY_SKILL_HORSE_SKILL_BOOK	Manual de habilidad de montura
CATEGORY_SKILL_PAHAE	Contraataque | Potenciación
CATEGORY_SKILL_SKILL_BOOK	Manuales de habilidad
CATEGORY_SORT_LOWEST_ALL_PRICE	Precio total más bajo
CATEGORY_SORT_LOWEST_COUNT	Cantidad (de baja a alta)
CATEGORY_SORT_LOWEST_PER_PRICE	Precio unitario más bajo
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Precio total más alto
CATEGORY_SORT_MAXIMUN_COUNT	Cantidad (de alta a baja)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Precio unitario más alto
CATEGORY_SORT_RECENT	Más nuevo
CATEGORY_TUNING	Mejoras
CATEGORY_TUNING_ALCHEMY	Aumentar probabilidad de éxito
CATEGORY_TUNING_ETC	Otros
CATEGORY_TUNING_RESOURCE	Materiales
CATEGORY_TUNING_STONE	Piedras espíritu
CATEGORY_UNIQUE	Objetos especiales
CATEGORY_UNIQUE_ABILITY	Consumibles
CATEGORY_UNIQUE_ETC	Otros
CATEGORY_WEAPON_WEAPON_ARROW	Flechas
CATEGORY_WEAPON_WEAPON_BELL	Campanas
CATEGORY_WEAPON_WEAPON_BOW	Arcos
CATEGORY_WEAPON_WEAPON_CLAW	Garras
CATEGORY_WEAPON_WEAPON_DAGGER	Puñales
CATEGORY_WEAPON_WEAPON_FAN	Abanicos
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lanzas
CATEGORY_WEAPON_WEAPON_QUIVER	Carcajes
CATEGORY_WEAPON_WEAPON_SWORD	Armas a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armas a dos manos
CHANGE_ALREADY_REGISTER	[Transfiguración] Este objeto ya se ha registrado.
CHANGE_LOOK_CHANGE_ITEM	¿Quieres transfigurar el objeto?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transfiguración] Por favor, retira primero el objeto sobre el que quieres aplicar la transfiguración.
CHANGE_LOOK_COST	Precio por transfiguración: %s Yang
CHANGE_LOOK_DEL_ITEM	El objeto en cuestión se borra.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transfiguración] Este objeto no se puede transfigurar.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transfiguración] No puedes transfigurar el objeto mientras esté en uso.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transfiguración] Este objeto no se puede registrar.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transfiguración] El objeto está unido al alma.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transfiguración] Por favor, registra el objeto que quieres transfigurar.
CHANGE_LOOK_INSERT_ITEM	[Transfiguración] Primero tienes que registrar el objeto.
CHANGE_LOOK_NEED_MONEY	No tienes suficiente Yang o suficientes objetos.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transfiguración] Esta acción no es posible mientras esté abierta la ventana "Transfiguración".
CHANGE_LOOK_TITLE	Transfiguración
CHANGE_LOOK_TITLE2	Transformación de montura
CHANGE_PET_PLEASE_APPEND_FIRST	Primero hay que seleccionar una mascota.
CHANGE_TOOLTIP2_LINE1	Añade a la izquierda el objeto de destino y a la derecha, el material.
CHANGE_TOOLTIP2_LINE2	Marca la opción para utilizar Yang o una Marca de transformación y cambia la apariencia de tu montura.
CHANGE_TOOLTIP2_LINE3	La marca de transformación modifica la apariencia de tu montura sin gastar Yang. (La marca se destruirá).
CHANGE_TOOLTIP2_LINE4	Si se modifica la apariencia de la montura con una duración, se mantiene la duración original.
CHANGE_TOOLTIP2_LINE5	Si la montura de destino es permanente y el material dispone de una duración concreta, la montura mantendrá la nueva apariencia con la duración del material.
CHANGE_TOOLTIP_LINE1	Coloca el objeto que quieres transfigurar a la izquierda.
CHANGE_TOOLTIP_LINE2	Coloca el otro objeto a la derecha.
CHANGE_TOOLTIP_LINE3	El aspecto del objeto de la izquierda cambia cuando
CHANGE_TOOLTIP_LINE4	confirmas las transfiguración (V) y se te extrajo el Yang correspondiente.
CHANGE_TOOLTIP_LINE5	Cuando utilizas este objeto,
CHANGE_TOOLTIP_LINE6	puedes transfigurar objetos sin tener que usar Yang.
CHANGE_TOOLTIP_TITLE	Transfiguración
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	No puedes regresar a la pantalla de registro.
CHANNEL_EMPTY_SERVER	No servidor
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	¡Este canal está lleno! Por favor, selecciona otro.
CHANNEL_NOT_FIND_INFO	No se ha encontrado ninguna información a través de este canal.
CHANNEL_PVP	Duelo libre
CHANNEL_SELECT_CHANNEL	Elige el canal
CHANNEL_SELECT_REGION	Elegir la región.
CHANNEL_SELECT_SERVER	Elige servidor
CHANNEL_STATUS_BUSY	Muy frecuentado
CHANNEL_STATUS_FULL	Lleno
CHANNEL_STATUS_OFFLINE	Desconocido
CHANNEL_STATUS_RECOMMENDED	Recomendado
CHANNEL_STATUS_VACANT	Poco frecuentado
CHANNEL_TEST_SERVER	Test de servidor
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crear personaje
CHARACTER_NAME	Nombre
CHARACTER_SELECT_MODE	Seleccionar personaje
CHARGE_BEAD_QUESTION	Esferas ánima necesarias: %d. ¿Deseas continuar?
CHATTING_SETTING_ADD	Añadir pestaña
CHATTING_SETTING_ADD_MAX	Ya no puedes añadir más.
CHATTING_SETTING_CHANGE_TITLE_NAME	¿Quieres guardar el nombre de este chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	No se puede cambiar el nombre del chat general.
CHATTING_SETTING_CLEAR_QUESTION	¿Restablecer?
CHATTING_SETTING_DEL	Eliminar campo
CHATTING_SETTING_LANGUAGE_OFF	Desactivar
CHATTING_SETTING_LANGUAGE_ON	Activar
CHATTING_SETTING_QUESTION_DESC_1	1) Establece un mensaje para EXP recibida por acabar con monstruos o EXP perdida.
CHATTING_SETTING_QUESTION_DESC_2	2) Establece un mensaje para botines tirados y Yang obtenido.
CHATTING_SETTING_RETURN	Restaurar campo
CHATTING_SETTING_SETTING	Ajustes
CHAT_ALL	Todo
CHAT_BLOCK	Bloquear
CHAT_DICE_INFO	Tirada
CHAT_GUILD	Gremio
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contiene palabras inválidas.
CHAT_LOG	Mostrar mensajes antiguos [L]
CHAT_LOG_TITLE	Protocolo del chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Servidor
CHAT_OPEN_LINK_DANGER	Warning: This link can contain a virus!
CHAT_OPEN_LINK	Do you want to open this link?
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar chat
CHAT_SEND_MEMO	Enviar susurro[Shift+Enter]
CHAT_SHOUT	Llamar
CHAT_SHOUT_LIMIT	Sólo puedes llamar cada 15 segundos.
CHAT_WHISPER	Conversación
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	No puedes tirar dinero.
CHEQUE_SYSTEM_PICK_WON	Has obtenido %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Precio de venta]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	Se ha gastado una cantidad de %s Won.
CLEAR_FLOOR	Nivel
CLEAR_TIME	Tiempo
CLICK_BEAD_DESCRIPTION	Necesitas Esferas ánima para acceder al Templo del Zodíaco. Dirígete al Teletransportador de la aldea.
ClosePetChangeWndButton	Cerrar
COMB_ACCE_IS_CONTINUE_PROCESS	¿Deseas continuar?
COMB_ACCE_WARNING_MESSAGE	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito. La transferencia puede fallar. La tasa de absorción del receptor disminuirá en caso de fallo o éxito parcial.
COMB_ACCE_WARNING_MESSAGE1	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito.
COMB_ACCE_WARNING_MESSAGE2	La transferencia puede fallar.
COMB_ACCE_WARNING_MESSAGE3	La tasa de absorción del receptor disminuirá en caso de fallo o éxito parcial.
COMB_ACCE_WILL_REMOVE_MATERIAL	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito.
COMB_ALREADY_APPEND	Este objeto ya se ha seleccionado.
COMB_CANT_APPEND_ITEM	No se puede utilizar este objeto.
COMB_CANT_APPEND_SEALED_ITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
COMB_CANT_BASE_ITEM	Si una estola ya tiene alguna bonificación, no podrá ser receptora.
COMB_CANT_MATCH_DRAINRATE	La tasa de absorción de ambos objetos tiene que ser idéntica para realizar una transferencia de bonificación.
COMB_CANT_MATCH_GRADE	El grado de ambos objetos tiene que ser idéntico para realizar una transferencia de bonificación.
COMB_CANT_MATERIAL_ITEM	El objeto original tiene que tener una bonificación.
COMB_COST	Precio: %s
COMB_IS_CONTINUE_PROCESS	¿Quieres continuar?
COMB_NOTICE	No puedes abrir una tienda privada mientras canjeas libros.
COMB_NOTICE_NOT_OPEN	No puedes canjear libros si has abierto una tienda privada.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Para transferir bonificaciones se necesita un objeto original, un receptor y uno de transferencia.
COMB_NOT_FULL_BOOK	No, así no vamos a hacer negocios. Como ya te expliqué, solamente canjeo libros si me puedes traer al menos 10 de ellos.
COMB_NOT_ITEM_IN_INVENTORY	No puedes utilizar un objeto equipado.
COMB_NOT_MEDIUM_ITEM	No se puede utilizar este objeto.
COMB_WILL_REMOVE_MATERIAL	El original se destruirá en caso de éxito.
COMMUNITY_ADD_BLOCK	Se ha bloqueado a %s.
COMMUNITY_ADD_FRIEND	Se ha añadido a %s a la lista de amigos.
COMMUNITY_ALREADY_BLOCKED	Ya está bloqueado.
COMMUNITY_ALREADY_FRIEND	Ya sois amigos.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Ya has enviado una solicitud de amistad.
COMMUNITY_BLOCKED_ALREADY	Ya se ha bloqueado a %s.
COMMUNITY_BLOCKED_EXCHANGE	Comercio
COMMUNITY_BLOCKED_FRIEND_REQUEST	Solicitud de amistad
COMMUNITY_BLOCKED_FUNCTION	Bloqueado:
COMMUNITY_BLOCKED_GUILD_INVITE	Invitación al gremio
COMMUNITY_BLOCKED_PARTY_INVITE	Solicitud de grupo
COMMUNITY_BLOCKED_PARTY_JOIN	Invitación de grupo
COMMUNITY_BLOCKED_PARTY_WHISPER	Susurrar
COMMUNITY_CANT_ACTION_TIMER	Inténtalo de nuevo más tarde.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	No puedes bloquear a más jugadores (máx. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	No puedes tener más amigos (máx. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	No puedes añadirte a tu propia lista de amigos.
COMMUNITY_CANT_ADD_GM	No puedes añadir GMs como amigos.
COMMUNITY_CANT_BLOCK_FAMILY	No puedes bloquear a tu cónyuge.
COMMUNITY_CANT_BLOCK_FRIEND	Se debe eliminar primero a %s.
