ACCEPT	Tamam
COMMUNITY_CONNECT	Çevrimiçi
COMMUNITY_DELETE_FAVORITE_QUESTION	Favorilerden kaldýrýlsýn mý?
COMMUNITY_DISCONNECT	Çevrimdýþý
COMMUNITY_DISCONNECT_DIALOG	Bu listedeki diðer kiþilere çevrimdýþý görüneceksin.
COMMUNITY_ERROR	Bilinmeyen
COMMUNITY_FAVORITE_BUTTON	Favorilere
COMMUNITY_GUILD_INFO	Lonca Bilgisi
COMMUNITY_HAS_NO_GUILD	Þu anda bir loncada deðilsin.
COMMUNITY_HAS_NO_GUILD_2	Mevcut loncalara göz at.
COMMUNITY_LEFT_SEAT	AFK
COMMUNITY_LEFT_SEAT_DIALOG	Bu listedeki diðer kiþilere AFK olarak görüneceksin.
AFK iken diðer oyuncularýn mesajlarýný
ve grup davetlerini kaçýrabilirsin.
COMMUNITY_MAIN_TAB_CONFIG	Ayar
COMMUNITY_MAIN_TAB_FRIEND	Arkadaþ
COMMUNITY_MAIN_TAB_GUILD	Lonca
COMMUNITY_MAIN_TITLE	Topluluk
COMMUNITY_MAP_INFO	Konum: %s
COMMUNITY_MESSENGER_BLOCK_DELETE	Engellemeyi kaldýr
COMMUNITY_MESSENGER_FRIEND_DELETE	Sil
COMMUNITY_MESSENGER_SUB_TAB_BLOCK	Engelleme listesi
COMMUNITY_MESSENGER_SUB_TAB_FRIEND	Arkadaþ listesi
COMMUNITY_MESSENGER_SUB_TAB_GUILD_MEMBER	Lonca Üyeleri
COMMUNITY_MESSENGER_SUB_TAB_REQUEST	Arkadaþlýk istekleri
COMMUNITY_MESSENGER_WHISPER	Fýsýltý
COMMUNITY_MOUSE_OVER_IN_STATUS_MESSAGE_BUTTON	Mesaj yazmak için týkla.
COMMUNITY_MY_STATUS_MESSAGE	Durum mesajý
COMMUNITY_NO_GUILD	Lonca yok
COMMUNITY_PARTY_INVITE	Grup daveti
COMMUNITY_REFUSE	Reddet
COMMUNITY_SHOP_OPEN	Market kullanýlýyor
COMMUNITY_STATUS_MESSAGE_GUILD_TEXT	Burada mesaj yazabilirsin.
COMMUNITY_TOOLTIP_LOVE_POINT	Sevgi Puaný: %d %%
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	INT
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_RENEWAL_BELT_IMPROVE	Þansý Artýr
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
DO_REFINE	Arýndýr
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Mitsi ejderha taþý için bonus dönüþümü
DRAGONSOUL_ALL_REFINE	Tümünü arýndýr
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_PAGE_BUTTON_6	Mitsi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TAP_TITLE_7	Ejderha Ametisti
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
DRAGON_GATE_AUTO_REINFORCE_TEXT	
DRAGON_GATE_BASE_NAME	
DRAGON_GATE_NAME	
DRAGON_GATE_REINFORCE_TEXT	
DRAGON_GATE_SIDE_NAME	
DRAGON_GATE_SIDE_NAME_BY_INDEX	
DUTCHAUCTION_BUTTON	Git!
DUTCHAUCTION_TITLE	SALE
EASTER_EGG_NOT_HAS_YET	Bu yumurta henüz toplanmadý.
EASTER_EGG_RECEIVE_REWARD_BUTTON	Bir yumurta buldum!
EASTER_EGG_TITLE	Yumurta Bayramý
EASTER_EGG_TOTAL_COUNT	Toplam bahar yumurtasý
EMPIRE_A	Shinsoo
EMPIRE_ALL	Hepsi
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
END_TIME	Devam eden etkinlik
ENTER_BATTLE_FIELD	Katýl
EQUIPMENT_SLOT_1	Ýlk ekipman sayfasý
EQUIPMENT_SLOT_2	Ýkinci ekipman sayfasý
EVENT_ALARM_TITLE	Etkinlik genel görünümü
EVENT_NAME_TITLE	Ýsim
EVENT_REWARD_TITLE	Ödül
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
GAMEOPTION_TITLE	Seçenekler
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_GUILD_WAR_JOIN	Lonca savaþýna katýl
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GAYA_NEW	Gaya
GEM_NEW	Yenile
GEM_TICKET_TITLE	Gaya Çeki Penceresi
GEMS_ISIM	Gaya Maðazasý
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GRAPHICONOFF_DROP_ITEM_APPLY	Uygula
GRAPHICONOFF_DROP_ITEM_LEVEL	Eþya düþürme
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Efekt ve ismi göster
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Efekti gizle
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Efekt ve ismi gizle
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Eþyalarý gizle ve ismi fare ile göster
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Eþyalarý gizle ve ismi gösterme
GRAPHICONOFF_EFFECT_APPLY	Uygula
GRAPHICONOFF_EFFECT_LEVEL	Efektler
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Sadece benimkileri ve canavar efektlerini
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Sadece benimkileri ve diðer oyuncu efektlerini
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Sadece benimkileri göster
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Hiçbirini gösterme
GRAPHICONOFF_NPC_NAME_STATUS	YZK isimleri
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Kapalý
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	YZK isimlerini gizle
GRAPHICONOFF_NPC_NAME_STATUS_ON	Alýcý
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	YZK isimlerini görüntüle
GRAPHICONOFF_PET_STATUS	Petler
GRAPHICONOFF_PET_STATUS_OFF	Kapalý
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Peti gizle
GRAPHICONOFF_PET_STATUS_ON	Açýk
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Peti göster
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Uygula
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Özel dükkanlar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Geniþ çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Orta çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Yakýn çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Direkt çevredeki tümünü göster
GUILDWINDOW_BASE_BUFF	Lonca bonusu
GUILD_ATTENDANCE_LOCA1	Ýlk katýlým: 1x Onur madalyasý
GUILD_ATTENDANCE_LOCA2	10 veya üstü: 1x Onur madalyasý
GUILD_ATTENDANCE_LOCA3	20 veya üstü: 2x Onur madalyasý
GUILD_ATTENDANCE_LOCA4	30 veya üstü: 4x Onur madalyasý
GUILD_ATTENDANCE_LOCA5	40 veya üstü: 6x Onur madalyasý
GUILD_ATTENDANCE_LOCA6	50 veya üstü: 8x Onur madalyasý
GUILD_ATTENDANCE_LOCA7	60 veya üstü: 10x Onur madalyasý
GUILD_ATTENDANCE_LOCA8	70 veya üstü: 12x Onur madalyasý
GUILD_ATTENDANCE_LOCA9	Katýlým baþlangýcý: her gün saat 5:00'da
GUILD_ATTENDANCE_TITLE	Katýlým ödülü
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca deposu geçmiþi
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo s.:
GUILD_BASEINFO_BANK	Lonca deposu
GUILD_BASEINFO_BANKLASTOUT	Son eþya alýmý
GUILD_BASEINFO_BUILDING	Lonca binasý
GUILD_BASEINFO_FACTORY	Lonca demircisi
GUILD_BASEINFO_GUILDLAND	Lonca bölgesi
GUILD_BASEINFO_LANDSCAPE	Diðer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Hesap bakiyesi
GUILD_BASEINFO_MONEYBANKINFO	Lonca bankasý bilgisi
GUILD_BASEINFO_MONEYLASTOUT	Son para çekme
GUILD_BASEINFO_POWER	Güç Sunaðý
GUILD_BASEINFO_SMEITER	Lonca simyacýsý
GUILD_BASEINFO_TITLE	Bölge bilgileri
GUILD_BASENAME	Temel isim
GUILD_BATTLE_AREA_MOVE_BUTTON	Iþýnlanma
GUILD_BATTLE_RANK_BOARD	Sýralama listesi
GUILD_BATTLE_RANK_BOARD_MOB_KILL	MOB\ndevirme
GUILD_BATTLE_RANK_BOARD_NAME	Ýsim
GUILD_BATTLE_RANK_BOARD_PC_DEAD	OK\nöldürme
GUILD_BATTLE_RANK_BOARD_PC_KILL	OK-\ndevirme
GUILD_BATTLE_RANK_BOARD_RANK	Sýra
GUILD_BATTLE_RANK_BOARD_TEAM	Takým
GUILD_BATTLE_RESULT_BOARD	Lonca Savaþý Sonuçlarý
GUILD_BATTLE_RESULT_BOARD_EXIT	Çýk
GUILD_BATTLE_RESULT_BOARD_RANKING	Sýra
GUILD_BATTLE_STATUS_BOARD	Sýralama Listesi
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_CHANGE_DELETE	Sil
GUILD_BUILDING_CHANGE_FIX	Lonca deðiþikliði
GUILD_BUILDING_CHANGE_LIST	Lonca nesneleri listesi
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_FIX	Deðiþtir
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DONATE_BUTTON_OVER_TEXT	Rastgele eþya
GUILD_DONATE_COUNT	Mevcut baðýþlar: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	Lonca EXP
GUILD_DONATE_HIGH_MATERIAL	Büyük baðýþ
GUILD_DONATE_MEDAL_OF_HONOR	Onur madalyasý
GUILD_DONATE_MIDDLE_MATERIAL	Orta baðýþ
GUILD_DONATE_MY_MEDAL_OF_HONOR	Onur madalyalarým
GUILD_DONATE_NORMAL_MATERIAL	120.000 Yang
GUILD_DONATE_TAB_HIGH	Büyük baðýþ
GUILD_DONATE_TAB_MIDDLE	Orta baðýþ
GUILD_DONATE_TAB_NORMAL	Küçük baðýþ
GUILD_DONATE_TITLE	Baðýþ EXP
GUILD_DRAGONLAIR_RANKING	En Ýyiler Listesi
GUILD_DRAGONLAIR_RANKING_COUNT	Sýra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üyeler
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_BANK	Lonca bankasý ve lonca deposunu kullanabilir
GUILD_GRADE_PERMISSION_DELETE	Loncadan çýkar
GUILD_GRADE_PERMISSION_JOIN	Loncaya oyuncular alabilir
GUILD_GRADE_PERMISSION_NOTICE	Lonca notlarýný asabilir
GUILD_GRADE_PERMISSION_SKILL	Lonca becerileri
GUILD_GRADE_PERMISSION_WAR	Savaþçý olarak katýlan üyeleri seçebilir.
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca Ýmzasý
GUILD_MASTER_CHANGE_TITLEBAR	Lonca liderliðini býrak
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Savaþçý
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_OUT_TITLEBAR	Üyeyi çýkar
GUILD_MEMBER_PACE_ATTENDANCE	Katýlým ({0}/{1})
GUILD_MEMBER_RANK	Sýra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_METIN_STONE	Zihin Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILLPAGE_LADDER	Sýralama Puanlarý
GUILD_SKILLPAGE_RANK	Rütbe
GUILD_RANKING_TITLE	Lonca Sýralamasý
GUILD_RANKING_COUNT	#
GUILD_RANKING_GUILD_NAME	Isim
GUIlD_RANKING_OWNER_NAME	Lider
GUILD_RANKING_LEVEL	Seviye
GUILD_RANKING_POINT	Puanlar
GUILD_RANKING_WIN	W
GUILD_RANKING_DRAW	D
GUILD_RANKING_LOSS	L
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýlaný Kabulü
GUILD_WAR_ALLSCORE	Tüm Savaþlar
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlaný
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_GAINSCORE	Puanlar
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Savaþ süresi
GUILD_WAR_GAMETIME_SIXTY	60 dak.
GUILD_WAR_GAMETIME_TEN	10 dak.
GUILD_WAR_GAMETIME_THIRTY	30 dak.
GUILD_WAR_JOINMEMBER	Üyeler
GUILD_WAR_JOINMEMBER_COUNT	Üyeler
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Alan
GUILD_WAR_REPORT	Savaþ listesi
GUILD_WAR_REPORTLIST	Übersicht (Savaþlar: S, Galibiyet: G, Maðlubiyet: M, Berabere: B)
GUILD_WAR_SCORE	Savaþ listesi
GUILD_WAR_SKILL	Lonca becerileri
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaþý
GUILD_WAR_TYPE_DIE	Arena Savaþý
GUILD_WAR_TYPE_FLAG	Bayrak Savaþý
GUILD_WAR_TYPE_NORMAL	Meydan Savaþý
GUILD_WAR_TYPE_TIGER	Ýmha Savaþý
GUILD_WAR_TYPE_TIME	Zaman Saldýrýsý
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Turlar
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
INVENTORY_TITLE	Envanter
INVENTORY_UNLOCK	%d Envanter Geniþletme özelliðini kullanmak ister misiniz?
KALAN_SURE	Kalan Süre:
LANGUAGE_AE	Arapça
LANGUAGE_CZ	Çekçe
LANGUAGE_DE	Almanca
LANGUAGE_DK	Danca
LANGUAGE_EN	Ýngilizce
LANGUAGE_ES	Ýspanyolca
LANGUAGE_FR	Fransýzca
LANGUAGE_GR	Yunanca
LANGUAGE_HU	Macarca
LANGUAGE_IT	Ýtalyanca
LANGUAGE_NL	Flamanca
LANGUAGE_NONE	Hiçbir þey seçilmemiþ
LANGUAGE_PL	Lehçe
LANGUAGE_PT	Portekizce
LANGUAGE_RO	Rumence
LANGUAGE_RU	Rusça
LANGUAGE_TR	Türkçe
LANGUAGE_SYSTEM_CHANGE	Dili deðiþtirmek istiyor musunuz?
LOGIN_CONNECT	Baðlan
LOGIN_CONNECTING	Servera baðlanacaksýnýz.
LOGIN_EXIT	Çýkýþ
LOGIN_ID	Kullanýcý adý
LOGIN_PASSWORD	Þifre
MALL_PASSWORD_TITLE	þifre
MALL_TITLE	Nesne Marketi Deposu
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasýný kaydet
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaþ Ekle
MESSENGER_ADD_BLOCK	Engelle
MESSENGER_BLOCK	Engelle
MESSENGER_BLOCK_FRIEND	Engelle
MESSENGER_DELETE_FRIEND	Sil
MESSENGER_MOBILE	Metin Mesajý Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaþlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fýsýltý
MINIGAME_FISH_EVENT_USE_COUNT	Miktar
MINIMIZE	Küçült
MINI_BOSS_DUNGEON_DESC_BTN	Etkinlik kurallarý
MINI_BOSS_DUNGEON_TITLE_NAME	Katýlýmcýlar
MINI_BOSS_DUNGEON_TITLE_NUM	Rütbe
MINI_BOSS_DUNGEON_TITLE_POINT	Kýyamet puanlarý
MINI_BOSS_DUNGEON_TOOTIP_01	Zindan genel görünümü
MINI_BOSS_DUNGEON_TOOTIP_02	Seviye 40 - 80 için kýyamet
MINI_BOSS_DUNGEON_TOOTIP_03	Seviye 81 üstü kýyamet
MINI_BOSS_DUNGEON_TOOTIP_04	Gir
MINI_BOSS_DUNGEON_TOOTIP_05	Kalan süre
MINI_BOSS_DUNGEON_TOOTIP_06	Kýyamet puanlarým
MINI_BOSS_DUNGEON_TOOTIP_07	Kalan kýyametler
MINI_BOSS_DUNGEON_TOOTIP_08	Ödülüm
MINI_BOSS_TITLE	Zodyak kýyameti
MINI_GAME_BLACK_AND_WHITE_DONATE	Baðýþlar
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Kahin Yarýþmasý
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Sýralama Listesi
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Ödüller
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Baþla
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Kahin Yarýþmasý
MINI_GAME_CATCHKING_CHALLENGE	Girdi
METIN_EVENT_TITLE	Metin Taþý Etkinliði
MINI_GAME_CATCHKING_HELP_TEXT	Kurallar
MINI_GAME_CATCHKING_HIGH_SCORE	En yüksek skor
MINI_GAME_CATCHKING_MYNUMBER	Kartým
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop-Up açýk/kapalý
MINI_GAME_CATCHKING_RETRY	Yeniden oyna
