ACCE_ABSORB_CHANCE	Emiþ oraný: %d%%
AURA_IMPOSSIBLE_SEALITEM	[Aura] Ruha baðlý eþyalar aktarýlamaz.
AURA_ITEM_NEED_REGISTER	[Aura] Eþyalar eklenmeli.
AURA_LEVEL_STEP	Sv %d (Seviye %d)
AURA_MAX_LEVEL	[Aura] Aura giysisi maksimum seviyeye sahip.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Aktarýlan eþya imha edilir.
AURA_OPEN_OTHER_WINDOW	Bir yükseltme, geliþtirme veya deðer aktarma penceresi açýkken bunu yapamazsýn.
AURA_POSSIBLE_AURAITEM	[Aura] Sadece aura giysisi mümkün.
AURA_POSSIBLE_AURARESOURCE	Sadece Aura Buz Rünü ve Aura Ateþ Rünü kullanýlabilir.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura giysisi önce eklenmeli.
AURA_TITLE_ABSORB	Deðerleri aura giysisine aktar.
AURA_TITLE_EVOLUTION	Aura giysisini geliþtir
AURA_TITLE_GROWTH	Aura giysisini yükselt
AURA_TOOLTIP_EVOLUTION_PER	Þans: %d%%
AURA_TOOLTIP_EXP	EXP (%%%d / %%100)
AURA_TOOLTIP_LEVEL	Sv %d (Seviye %d) (Emiþ oraný %%%.1f)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Yeni
AURA_TOOLTIP_NOW	Güncel
AURA_TOOLTIP_RESOURCE	Tüketim nesnesi
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Otomatik av etkinken bunu kuþanamazsýn.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Bu eþyayý kuþandýðýnda otomatik avý kullanamazsýn.
AUTO_HUNTING_OPTION_BOSS	Patron
AUTO_HUNTING_OPTION_KING	5. Seviye
AUTO_HUNTING_OPTION_KNIGHT	3.Seviye
AUTO_HUNTING_OPTION_PAWN	1.Seviye
AUTO_HUNTING_OPTION_STONE	Metin taþý
AUTO_HUNTING_OPTION_S_KNIGHT	4.Seviye
AUTO_HUNTING_OPTION_S_PAWN	2.Seviye
AUTO_TOOLTIP_CLEAR	Sýfýrla
AUTO_TOOLTIP_LINE1	Beceriler: Savaþ için beceriler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE2	Not: Becerilerin altýnda etkinleþtirme sýklýðýný (saniye olarak) ayarlayabilirsin.
AUTO_TOOLTIP_LINE3	Ýksirler: Savaþ için iksirler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE4	Not: HP ve SP iksirleri iksirin altýnda bulunan % deðerinin altýna düþüldüðünde etkinleþir.
AUTO_TOOLTIP_LINE5	Not: Becerilerin, iksirlerin ve canlandýrmalarýn otomatik kullanýmý Nesne Market'te etkinleþtirilebilir.
AUTO_TOOLTIP_LINE6	5. Seçilen iksirler ve eþyalar, buffýn süresi dolduktan sonra, kalan süre gösterilmeden otomatik olarak uygulanýr.
AUTO_TOOLTIP_LINE7	6. Saldýrdýðýn canavarlarýn ne kadar güçlü olmasý gerektiðini belirlemek için "Saldýr" seçeneðinin yanýndaki oku kullanabilirsin (seviyene göre +/- seviye).
AUTO_TOOLTIP_LINE8	7. Canavarlara saldýrmak istediðin mesafeyi belirlemek için "Odak" seçeneðinin yanýndaki oku kullanabilirsin.
AUTO_TOOLTIP_TITLE	Otomatik Av Yardýmý
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Otomatik Av	SNA
AUTO_NEED_ITEM	Bu özelliði kullanmak için Market’ten Otomatik Av eþyasýna ihtiyacýn var.
BATTLE_MAP_NAME_AREA_1	Bölge 1
BATTLE_MAP_NAME_AREA_2	Bölge 2
BATTLE_MAP_NAME_AREA_3	Bölge 3
BATTLE_MAP_NAME_AREA_4	Bölge 4
BATTLE_MAP_NAME_AREA_5	Bölge 5
BATTLE_MAP_NAME_AREA_6	Bölge 6
BATTLE_MAP_NAME_AREA_7	Bölge 7
BATTLE_MAP_NAME_AREA_8	Bölge 8
BATTLE_MAP_NAME_AREA_9	Bölge 9
BATTLE_POINT	Savaþ Puanlarý
BATTLE_ROYALE_ALIVE_COUNT	Hayatta kalanlar: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Bunu burada açamazsýn.
BATTLE_ROYALE_KILL_COUNT	Maðlup edilen rakipler: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Katýl
BATTLE_ROYALE_MAINBUTTON_CANCEL	Ýptal et
BATTLE_ROYALE_MAINBUTTON_EXIT	Çýk
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Baþla
BATTLE_ROYALE_NOTIFY_APPLICATED	Battle Royale için kaydoldun. Yeterli katýlýmcý olduðu anda katýlabilirsin.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Battle Royale kayýtlarý kapandý.
BATTLE_ROYALE_NOTIFY_STARTABLE	Þimdi dem Battle Royale'e katýlabilirsin. Katýlmak için etkinlik butonuna bas.
BATTLE_ROYALE_NOTIFY_WINNER	Kazandýn.
BATTLE_ROYALE_PERSONAL_RANK	Kiþisel sýralama: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Sonsuz dayanýklýlýk kullanmak ister misin?
BATTLE_ROYALE_WHO_KILLED	Seni öldüren oyuncu: %s
BATTLE_ROYALE_WINNER_1	Battle Royale'i kazandýn!
BATTLE_ROYALE_WINNER_2	Birazdan köye ýþýnlanacaksýn.
BEAD	Animasfer
BEAD_TIME_REMAINING_TO_GET	Animasferin yüklenmesine kalan süre: %d dak.
BELT_RENEWAL_BANN_SIGN	Devam edemezsin.
BELT_RENEWAL_INVENTORY_FULL	Envanterinde yeterli alan yok.
BNW_COIN	Kahin Jetonu
BUY_LIMIT_LEVEL	Satýn alma limiti: %s
CANNOT_ATTACK_DEST_IN_SAFE	Þavasçý çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldýramam.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Özel bir dükkân açtýðýn sürece baþka bir þey yapamazsýn.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_FISHING_RIDE_MOUNT	Binek hayvanýn üzerindeyken balýkçýlýk yapamazsýn.
CANNOT_FISHING_WHILE_POLY	Dönüþmüþ halde balýk tutamazsýn.
CANNOT_ILLUSTRATIONPAGE_WARP	Canavar kartý ýþýnlanmasýný burada kullanamazsýn.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Hareket halindeyken bunu yapamazsýn.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsýn.
CANNOT_POLY_STATUS	Þu anda dönüþemezsin.
CANNOT_PVP_MAP_MESSAGE	Bunu bu bölgede yapamazsýn.
CANNOT_SHOOT_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacým var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaþamam.
CANNOT_SKILL_ATTACK	Saldýramam.
CANNOT_SKILL_BLUE	Kýrmýzý kurt ruhu etkinken, çivit kurt ruhunu kullanamazsýn.
CANNOT_SKILL_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir olta kuþanmadan balýk tutamazsýn.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacým var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boþ bir þiþem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli þiþem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Bu beceriyi bu binekte kullanamazsýn.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öðrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_RED	Çivit kurt ruhu etkinken, kýrmýzý kurt ruhunu kullanamazsýn.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldýramam.
CANNOT_SKILL_USE_SELF	Bunu kendi üzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henüz bu beceriyi kullanamam.
CANNOT_UNEQUIP_IN_BATTLE	Eþyayý çýkarmak için hareketsiz olmalýsýn.
CANNOT_USE	Onu kullanamazsýn.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Kötü eðilimin daha fazla düþürülemeyeceði için Zen Fasulyesini kullanamazsýn.
CANNOT_WHISPER_BLOCKED_TARGET	%s öncelikle engelleme listenden çýkarýlmalýdýr.	SA
CANNOT_WHISPER_DEST_REFUSE	%s fýsýldamayý blokladý.	SA
CANNOT_WHISPER_NOT_LOGON	%s baðlý deðil.	SA
CANNOT_WHISPER_SELF_REFUSE	Fýsýldamayý blokladýðýnda birine birþey fýsýldayamazsýn.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s seni engelledi.	SA
CANT_USE_MESSAGE_WHEN_EQUIP	Bunu kuþanýlan bir eþyada kullanamazsýn.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Kral destesi/desteleri alýrsýn.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Kral kartlarý alýrsýn.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Oynamak için yeterince nesne veya paran yok.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Baþka kral desteleri alamazsýn.
CATEGORY_ARMOR_ARMOR_BODY	Zýrhlar
CATEGORY_ARMOR_ARMOR_GLOVE	Eldiven
CATEGORY_ARMOR_ARMOR_HEAD	Miðferler
CATEGORY_ARMOR_ARMOR_SHIELD	Kalkanlar
CATEGORY_COSTUMES	Kostümler
CATEGORY_COSTUMES_AURA	Aura giysileri
CATEGORY_COSTUMES_COSTUME_BODY	Kostümler
CATEGORY_COSTUMES_COSTUME_HAIR	Saç Modelleri
CATEGORY_COSTUMES_COSTUME_WEAPON	Silah Görünümleri
CATEGORY_COSTUMES_ETC	Diðerleri
CATEGORY_COSTUMES_SASH	Omuz Kuþaklarý
CATEGORY_DRAGON_STONE	Ejderha Taþý Simyasý
CATEGORY_DRAGON_STONE_DEMON	Ametist
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Elmas
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Grena
CATEGORY_DRAGON_STONE_DRAGON_JADE	Yeþim
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Oniks
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Yakut
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Diðerleri
CATEGORY_EQUIPMENT_ARMOR	Ekipmanlar
CATEGORY_EQUIPMENT_JEWELRY	Mücevher
CATEGORY_EQUIPMENT_WEAPON	Silahlar
CATEGORY_ETC	Diðerleri
CATEGORY_ETC_ALL	Hepsi
CATEGORY_ETC_ETC	Diðerleri
CATEGORY_ETC_EVENT	Etkinlik Eþyalarý
CATEGORY_ETC_GIFTBOX	Sandýklar | Kutular
CATEGORY_ETC_MATRIMORY	Düðün
CATEGORY_ETC_PARTI	Savaþ Becerisi Kitaplarý
CATEGORY_ETC_POLYMORPH	Dönüþüm Küreleri
CATEGORY_ETC_RECIPE	Ýksir Oluþturma
CATEGORY_ETC_SEAL	Ruha Baðlama
CATEGORY_FISHING_PICK	Balýkçýlýk | Madencilik
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Kazmalar
CATEGORY_FISHING_PICK_ETC	Diðerleri
CATEGORY_FISHING_PICK_FISHING_POLE	Oltalar
CATEGORY_FISHING_PICK_FOOD	Balýklar
CATEGORY_FISHING_PICK_PICK_BOOK	Madencilik Rehberleri
CATEGORY_FISHING_PICK_STONE	Cevherler
CATEGORY_JEWELRY_ARMOR_EAR	Küpeler
CATEGORY_JEWELRY_ARMOR_FOOTS	Ayakkabýlar
CATEGORY_JEWELRY_ARMOR_NECK	Kolyeler
CATEGORY_JEWELRY_ARMOR_PENDANT	Týlsým
CATEGORY_JEWELRY_ARMOR_WRIST	Bilezikler
CATEGORY_JEWELRY_ITEM_BELT	Kemerler
CATEGORY_MOUNT_PET	Binekler | Petler
CATEGORY_MOUNT_PET_CHARGED_PET	Petler
CATEGORY_MOUNT_PET_EGG	Pet Yumurtalarý
CATEGORY_MOUNT_PET_FREE_PET	Seviye Atlayabilen Petler
CATEGORY_MOUNT_PET_MOUNT	Binekler
CATEGORY_POTION	Ýksirler
CATEGORY_POTION_ABILITY	Kullaným Mallarý
CATEGORY_POTION_ETC	Diðerleri
CATEGORY_POTION_HAIRDYE	Saç Renkleri
CATEGORY_SKILL	Beceriler
CATEGORY_SKILL_BOOK_OF_OBLIVION	Unutkanlýk Kitaplarý
CATEGORY_SKILL_ETC	Diðerleri
CATEGORY_SKILL_HORSE_SKILL_BOOK	At beceri kitabý
CATEGORY_SKILL_PAHAE	Misilleme | Güçlendirme
CATEGORY_SKILL_SKILL_BOOK	Beceri Kitaplarý
CATEGORY_SORT_LOWEST_ALL_PRICE	En düþük genel fiyat
CATEGORY_SORT_LOWEST_COUNT	Miktar (düþükten yükseðe)
CATEGORY_SORT_LOWEST_PER_PRICE	En düþük bireysel fiyat
CATEGORY_SORT_MAXIMUN_ALL_PRICE	En yüksek genel fiyat
CATEGORY_SORT_MAXIMUN_COUNT	Miktar (yüksekten düþüðe)
CATEGORY_SORT_MAXIMUN_PER_PRICE	En yüksek bireysel fiyat
CATEGORY_SORT_RECENT	En yeniler
CATEGORY_TUNING	Geliþtirmeler
CATEGORY_TUNING_ALCHEMY	Baþarý þansýný yükselt
CATEGORY_TUNING_ETC	Diðerleri
CATEGORY_TUNING_RESOURCE	Malzemeler
CATEGORY_TUNING_STONE	Zihin Taþlarý
CATEGORY_UNIQUE	Özel Eþyalar
CATEGORY_UNIQUE_ABILITY	Tüketim Mallarý
CATEGORY_UNIQUE_ETC	Diðerleri
CATEGORY_WEAPON_WEAPON_ARROW	Oklar
CATEGORY_WEAPON_WEAPON_BELL	Çanlar
CATEGORY_WEAPON_WEAPON_BOW	Yaylar
CATEGORY_WEAPON_WEAPON_CLAW	Pençe
CATEGORY_WEAPON_WEAPON_DAGGER	Hançerler
CATEGORY_WEAPON_WEAPON_FAN	Yelpazeler
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Mýzraklar
CATEGORY_WEAPON_WEAPON_QUIVER	Ok Çantalarý
CATEGORY_WEAPON_WEAPON_SWORD	Tek Elli Silah
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Çift Elli Silahlar
CHANGE_ALREADY_REGISTER	[Yansýtma] Bu nesne kaydedildi.
CHANGE_LOOK_CHANGE_ITEM	Bu nesneyi yansýtmak istiyor musun?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Yansýtma] Lütfen önce yansýtmanýn uygulanacaðý nesneyi kaldýr.
CHANGE_LOOK_COST	Yansýtmanýn fiyatý: %s Yang
CHANGE_LOOK_DEL_ITEM	Kaldýrýlan nesne silinir.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Yansýtma] Bu nesne yansýtýlamaz.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Yansýtma] Nesneyi kuþanmýþ durumdayken onu yansýtamazsýn.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Yansýtma] Bu nesne kaydedilemez.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Yansýtma] Bu nesne ruha baðlý.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Yansýtma] Lütfen yansýtmak istediðin nesneyi kaydet.
CHANGE_LOOK_INSERT_ITEM	[Yansýtma] Önce nesneyi kaydetmelisin.
CHANGE_LOOK_NEED_MONEY	Ya yeterli Yang'a sahip deðilsin ya da yeterli nesnen yok.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Yansýtma] "Yansýtma" penceresi açýkken bu iþlem yapýlamaz.
CHANGE_LOOK_TITLE	Yansýtma
CHANGE_LOOK_TITLE2	Binek dönüþümü
CHANGE_PET_PLEASE_APPEND_FIRST	Ýlk önce pet seçilmeli
CHANGE_TOOLTIP2_LINE1	Sola hedef nesneyi, saða da malzemeyi yerleþtir.
CHANGE_TOOLTIP2_LINE2	Yang veya dönüþüm markasý kullanarak bineðinin görünümünü deðiþtirmek için onay iþaretini týkla.
CHANGE_TOOLTIP2_LINE3	Bir dönüþüm markasý ile Yang kullanmadan bineðinin görünümünü deðiþtirebilirsin. (Marka bu esnada imha edilir.)
CHANGE_TOOLTIP2_LINE4	Bineðinin görünümü belirli bir sürede deðiþtirilirse, orijinal süre kalýr.
CHANGE_TOOLTIP2_LINE5	Bineðin kalýcý ve malzeme bineðin bir süresinin olmasý durumunda binek, malzeme bineðin süresi boyunca, deðiþtirilen görünüme sahip olur.
CHANGE_TOOLTIP_LINE1	Üzerine yansýtýlmasýný istediðin nesneyi sola koy.
CHANGE_TOOLTIP_LINE2	Diðer nesneyi saða koy.
CHANGE_TOOLTIP_LINE3	Soldaki nesnenin görünümü
CHANGE_TOOLTIP_LINE4	Yansýtma'yý (V) onayladýðýn ve senden Yang çekildiði takdirde deðiþir.
CHANGE_TOOLTIP_LINE5	Bu nesneyi kullandýðýnda,
CHANGE_TOOLTIP_LINE6	Yang kullanmadan eþyaný yansýtabilirsin.
CHANGE_TOOLTIP_TITLE	Yansýtma
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Kaydolma ekranýna tekrar dönemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen baþka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaþýlamadý.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHANNEL_STATUS_BUSY	Kalabalýk
CHANNEL_STATUS_FULL	Dolu
CHANNEL_STATUS_OFFLINE	Kapalý
CHANNEL_STATUS_RECOMMENDED	Tavsiye edilen
CHANNEL_STATUS_VACANT	Açýk
CHANNEL_TEST_SERVER	Sunucuyu test et
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Karakter oluþtur
CHARACTER_NAME	Ýsim
CHARACTER_SELECT_MODE	Karakter seç
CHARGE_BEAD_QUESTION	Gereken animasfer: %d. Devam etmek istiyor musun?
CHATTING_SETTING_ADD	Sekme ekle
CHATTING_SETTING_ADD_MAX	Daha fazla ekleyemezsin.
CHATTING_SETTING_CHANGE_TITLE_NAME	Bu sohbet adýný kaydetmek istiyor musun?
CHATTING_SETTING_CHANGE_TITLE_NOT	Genel sohbetin adý deðiþtirilemez.
CHATTING_SETTING_CLEAR_QUESTION	Sýfýrla?
CHATTING_SETTING_DEL	Alaný kaldýr
CHATTING_SETTING_LANGUAGE_OFF	Kapalý
CHATTING_SETTING_LANGUAGE_ON	Açýk
CHATTING_SETTING_QUESTION_DESC_1	1. Canavarlarý öldürmek için alýnan EXP veya kaybedilen EXP için bir mesaj ayarla.
CHATTING_SETTING_QUESTION_DESC_2	2. Düþen ganimet ve kazanýlan Yang için bir mesaj ayarla.
CHATTING_SETTING_RETURN	Alaný geri yükle
CHATTING_SETTING_SETTING	Ayarlar
CHAT_ALL	Genel
CHAT_BLOCK	Blok
CHAT_DICE_INFO	Atýþ
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlýþ kelimeler içeriyor.
CHAT_LOG	Eski mesajý göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Ýstemci sürümün eþleþmediði için oturumun kapatýldý. Lütfen sürümünü güncelle ve tekrar oturum aç.
CHAT_NORMAL	Normal
CHAT_NOTICE	Sunucu
CHAT_OPEN_LINK_DANGER	Uyarý: Bu baðlantý virüs içerebilir!
CHAT_OPEN_LINK	Bu baðlantýyý açmak istiyor musunuz?
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fýsýltý gönder[Shift+Enter]
CHAT_SHOUT	Baðýrmak
CHAT_SHOUT_LIMIT	15 saniyede bir baðýrabilirsiniz.
CHAT_WHISPER	Fýsýldama
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Para düþüremezsin.
CHEQUE_SYSTEM_PICK_WON	%s Won aldýn.
CHEQUE_SYSTEM_SELL_PRICE	[Satýþ Fiyatý]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	%s Won harcandý.
CLEAR_FLOOR	Kat
CLEAR_TIME	Zaman
CLICK_BEAD_DESCRIPTION	Animasferler Zodyak tapýnaðýna giriþ için gereklidir. Bunun için Iþýnlayýcý köyüne git.
ClosePetChangeWndButton	Kapat
COMB_ACCE_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_ACCE_WARNING_MESSAGE	Baþarý veya kýsmi baþarýda orijinal imha edilir. Transfer baþarýsýz olabilir. Baþarýsýzlýk veya kýsmi baþarý durumunda alýcýnýn emiþ oraný düþer.
COMB_ACCE_WARNING_MESSAGE1	Baþarý veya kýsmi baþarýda orijinal imha edilir.
COMB_ACCE_WARNING_MESSAGE2	Transfer baþarýsýz olabilir.
COMB_ACCE_WARNING_MESSAGE3	Baþarýsýzlýk veya kýsmi baþarý durumunda alýcýnýn emiþ oraný düþer.
COMB_ACCE_WILL_REMOVE_MATERIAL	Baþarý veya kýsmi baþarýda orijinal imha edilir.
COMB_ALREADY_APPEND	Bu eþya zaten seçildi.
COMB_CANT_APPEND_ITEM	Bu nesne kullanýlamaz.
COMB_CANT_APPEND_SEALED_ITEM	Ruha baðlý nesneler kullanamazsýn.
COMB_CANT_BASE_ITEM	Zaten bir bonus içeren bir kuþak, alýcý olamaz.
COMB_CANT_MATCH_DRAINRATE	Bonus transferi için her iki eþyanýn da emiþ oraný ayný olmalý.
COMB_CANT_MATCH_GRADE	Bonus transferi için her iki eþyanýn da derecesi ayný olmalý.
COMB_CANT_MATERIAL_ITEM	Orijinal eþya bir bonus içermeli.
COMB_COST	Ücret: %s
COMB_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_NOTICE	Kitaplarý takas etmek isterken özel dükkan açamazsýn.
